1-20121125-pgp/wav/ru_0022,над этой машиной он ткнул трубкой в сторону лесов работаю давно,N A D E 0 T A J M A S H Y 0 N A J O 0 N T K N U 0 L T R U 0 P K A J F S T O 0 R A N U L 0 I S O 0 V R A B O 0 T A J U D A V N O 0
1-20121125-pgp/wav/ru_0024,в междузвёздном пространстве носятся осколки планет нерождённых или погибших миров,V M 0 I Z H D U Z V 0 O 0 Z N A M P R A S T R A 0 N S T V 0 I N O 0 S 0 I C A S K O 0 L K 0 I P L A N 0 E 0 T N 0 I R A Z H D 0 O 0 N Y H Y L 0 I P A G 0 I 0 P S H Y H M 0 I R O 0 F
1-20121125-pgp/wav/ru_0025,между зубами у них была трава они паслись там где теперь льды,M 0 E 0 Z H D U Z U B A 0 M 0 I U N 0 I 0 H B Y L A 0 T R A V A 0 A N 0 I 0 P A S 0 L 0 I 0 S 0 T A 0 M G D 0 E 0 T 0 I P 0 E 0 R 0 L 0 D Y 0
1-20121125-pgp/wav/ru_0027,мы втянули его и он упал разбил земную кору отклонил полюсы,M Y 0 F T 0 I N U 0 L 0 I J I G O 0 I O 0 N U P A 0 L R A Z B 0 I 0 L Z 0 I M N U 0 J U K A R U 0 A T K L A N 0 I 0 L P O 0 L 0 U S Y
1-20121125-pgp/wav/ru_0030,быть может от этого именно удара погиб материк лежавший на запад от африки в атлантическом океане,B Y 0 T 0 M O 0 Z H Y T A T E 0 T A V A I M 0 I N O 0 U D A 0 R A P A G 0 I 0 P M A T 0 I R 0 I 0 K L 0 I Z H A 0 F S H Y J N A Z A 0 P A T A T A 0 F R 0 I K 0 I V A T L A N 0 T 0 I 0 C H I S K A M A K 0 I A 0 N 0 I
1-20121125-pgp/wav/ru_0033,на глаз скайльс определил что яйцеобразный аппарат был не менее восьми с половиной метров высоты и шести метров в поперечнике,N A G L A 0 S K A 0 J L 0 S A P R 0 I D 0 I L 0 I 0 L S H T O J I J C Y A B R A 0 Z N Y J A P A R A 0 D B Y 0 L N 0 I M 0 E 0 N 0 I J I V A S 0 M 0 I 0 S P A L A V 0 I 0 N A J M 0 E 0 T R A V Y S A T Y 0 I S H Y S 0 T 0 I 0 M 0 E 0 T R A V F P A P 0 I R 0 E 0 C H N 0 I K 0 I
1-20121125-pgp/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали внутри хорошо укреплён рёбрами и лёгкими фермами,A P A R A 0 D B Y 0 L P A S T R O 0 J I N Y Z M 0 A 0 H K A J I T U G A P L A 0 F K A J S T A 0 L 0 I V N U T R 0 I 0 H A R A S H O 0 U K R 0 I P L 0 O 0 N R 0 O 0 B R A M 0 I L 0 O 0 H 0 K 0 I M 0 I F 0 E 0 R M A M 0 I
1981-20120705-haq/wav/ru_0076,несколько линий точек и полукружий разбросано к западу и востоку от этой экваториальной группы,N 0 E 0 S K A L 0 K A L 0 I 0 N 0 I J T O 0 C H I K Y P A L U K R U 0 Z H Y J R A Z B R O 0 S A N A G Z A 0 P A D U I V A S T O 0 K U A T E 0 T A J I K V A T A R 0 I A 0 L 0 N A J G R U 0 P Y
1981-20120705-haq/wav/ru_0077,лось жадно вглядывался в эту сеть линий вот они сводящие с ума астрономов постоянно меняющиеся геометрически правильные непостигаемые каналы марса,L O 0 Z Z H A 0 D N A V G L 0 A 0 D Y V A L S 0 A V E 0 T U S 0 E 0 T 0 L 0 I 0 N 0 I J V O 0 T A N 0 I 0 S V A D 0 A 0 S H 0 I J I S U M A 0 A S T R A N O 0 M A F P A S T A J A 0 N A M 0 I N 0 A 0 J U S H 0 I J I S 0 A G 0 I A M 0 I T R 0 I 0 C H I S K 0 I P R A 0 V 0 I L 0 N Y J I N 0 I P A S 0 T 0 I G A 0 J I M Y J I K A N A 0 L Y M A 0 R S A
1981-20120705-haq/wav/ru_0078,лось кинулся к реостатам попали алексей иванович притягиваемся падаем,L O 0 S 0 K 0 I 0 N U L S 0 A K R 0 I A S T A 0 T A M P A P A 0 L 0 I A L 0 I K S 0 E 0 J I V A 0 N A V 0 I C H P R 0 I T 0 A 0 G 0 I V A J I M S 0 A P A 0 D A J I M
1981-20120705-haq/wav/ru_0079,казалось из чёрной бездны он сам теперь летел на них,K A Z A 0 L A S 0 I S C H O 0 R N A J B 0 E 0 Z N Y O 0 N S A 0 M T 0 I P 0 E 0 R 0 L 0 I T 0 E 0 L N A N 0 I 0 H
1981-20120705-haq/wav/ru_0080,аппарат прорезывал облака над тусклой равниной и ревя и сотрясаясь медленно теперь опускался садимся успел только крикнуть лось и выключил двигатель,A P A R A 0 T P R A R 0 E 0 Z Y V A L A B L A K A 0 N A T U 0 S K L A J R A V N 0 I 0 N A J I R 0 I V 0 A 0 I S A T R 0 I S A 0 J I S 0 M 0 E 0 D 0 L 0 I N A T 0 I P 0 E 0 R 0 A P U S K A 0 L S 0 A S A 0 D 0 I M S 0 A U S P 0 E 0 L T O 0 L 0 K A K R 0 I 0 K N U T 0 L O 0 S 0 I V Y 0 K L 0 U C H I L D V 0 I 0 G A T 0 I L 0
1981-20120705-haq/wav/ru_0081,мышь понемногу ожила подняла нос стала шевелить усами умылась,M Y 0 S H 0 P A N 0 I M N O 0 G U A Z H Y L A 0 P A D 0 N 0 I L A 0 N O 0 S T A 0 L A S H Y V 0 I L 0 I 0 T 0 U S A 0 M 0 I U M Y 0 L A S 0
1981-20120705-haq/wav/ru_0082,покалывало грудь стучала кровь в виски но дышалось легко воздух был тонок и сух,P A K A 0 L Y V A L A G R U 0 T 0 S T U C H A 0 L A K R O 0 F 0 V V 0 I S K 0 I 0 N O 0 D Y S H A 0 L A S 0 L 0 I H K O 0 V O 0 Z D U H B Y 0 L T O 0 N A K Y S U 0 H
1981-20120705-haq/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
