1-20121125-pgp/wav/ru_0022,над этой машиной sil он ткнул трубкой в сторону лесов sil работаю давно sil,sil N A D E0 T A J0 M A SH Y0 N A J0 sil O0 N T K N U0 L T R U0 P K A J0 F S T O0 R A N U L0 I S O0 F sil R A B O0 T A J0 U D A V N O0 sil
1-20121125-pgp/wav/ru_0024,в междузвёздном пространстве носятся осколки планет sil нерождённых sil или погибших миров sil,sil V M0 I ZH D U Z V0 O0 Z N A M P R A S T R A0 N S T V0 I N O0 S0 I TS Al S K O0 L K0 I P L A N0 E0 T sil N0 I R A ZH D0 O0 Nl Y KH sil I L0 I P A G0 I0 P SH Y KH M0 I R O0 F sil
1-20121125-pgp/wav/ru_0025,между зубами у них была трава sil они паслись там sil где теперь льды sil,sil M0 E0 ZH D U Z U B A0 M0 I U N0 I0 GH B Y L A0 T R A V A0 sil A N0 I0 P A S L0 I0 S0 T A0 M sil G D0 E0 T0 I P0 E0 R0 L0 D Y0 sil
1-20121125-pgp/wav/ru_0027,мы втянули его и он упал sil разбил земную кору sil отклонил полюсы sil,sil M Y0 F T0 I N U0 L0 I J0 I V O0 I O0 N U P A0 L sil R A Z B0 I0 L Z0 I M N U0 J0 U K A R U0 sil A T K L A N0 I0 L P O0 L0 U S Y sil
1-20121125-pgp/wav/ru_0030,быть может sil от этого именно удара sil погиб материк sil лежавший на запад sil от африки sil в атлантическом океане sil,sil B Y0 T0 M O0 ZH Y T sil A T E0 T A V A I M0 I Nl O0 U D A0 R A sil P A G0 I0 P M A T0 I R0 I0 K sil L0 I ZH A0 F SH Y J0 N A Z A0 P A T sil A T A0 F R0 I K0 I sil V A T L A N0 T0 I0 TSH0 I S K A M A K0 I A0 N0 I sil
1-20121125-pgp/wav/ru_0033,на глаз sil скайльс определил sil что яйцеобразный аппарат был не менее восьми с половиной метров высоты sil и шести метров sil в поперечнике sil,sil N A G L A0 S sil S K A0 J0 L0 S A P R0 I D0 I L0 I0 L sil SH T O0 J0 I J0 TS Y A B R A0 Z N Y J0 A Pl A R A0 D B Y0 L N0 I M0 E0 N0 I J0 I V A S0 M0 I0 S P A L A V0 I0 N A J0 M0 E0 T R A F V Y S A T Y0 sil I SH Y S0 T0 I0 M0 E0 T R A F sil F P A P0 I R0 E0 TSH0 N0 I K0 I sil
1-20121125-pgp/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали sil внутри хорошо укреплён рёбрами sil и лёгкими фермами sil,sil A Pl A R A0 D B Y0 L P A S T R O0 J0 I N Y Z M0 A0 KH K A J0 I T U G A P L A0 F K A J0 S T A0 L0 I sil V N U T R0 I0 KH A R A SH O0 U K R0 I P L0 O0 N R0 O0 B R A M0 I sil I L0 O0 KH K0 I M0 I F0 E0 R M A M0 I sil
1981-20120705-haq/wav/ru_0076,несколько линий sil точек и полукружий разбросано к западу и востоку от этой sil экваториальной группы sil,sil N0 E0 S K A L0 K A L0 I0 N0 I J0 sil T O0 TSH0 I K Y P A L U K R U0 ZH Y J0 R A Z B R O0 S A N A G Z A0 P A D U I V A S T O0 K U A T E0 T A J0 sil Y K V A T A R0 I A0 L0 N A J0 G R U0 Pl Y sil
1981-20120705-haq/wav/ru_0077,лось жадно вглядывался в эту сеть линий sil вот они sil сводящие с ума астрономов sil постоянно меняющиеся sil геометрически правильные sil непостигаемые каналы марса sil,sil L O0 Z0 ZH A0 D N A V G L0 A0 D Y V A L S0 A V E0 T U S0 E0 T0 L0 I0 N0 I J0 sil V O0 T A N0 I0 sil S V A D0 A0 SH0 I J0 I S U M Al S T R A N O0 M A F sil P A S T A J0 A0 Nl A M0 I N0 A0 J0 U SH0 I J0 I S0 A sil G0 I A M0 I T R0 I0 TSH0 I S K0 I P R A0 V0 I L0 N Y J0 I sil N0 I P A S0 T0 I G A0 J0 I M Y J0 I K A N A0 L Y M A0 R S A sil
1981-20120705-haq/wav/ru_0078,лось кинулся к реостатам sil попали алексей иванович sil притягиваемся sil падаем sil,sil L O0 S0 K0 I0 N U L S0 A K R0 I A S T A0 T A M sil P A P A0 L0 I A L0 I K S0 E0 J0 I V A0 N A V0 I TSH0 sil P R0 I T0 A0 G0 I V A J0 I M S0 A sil P A0 D A J0 I M sil
